station,month,avg_ridership
181 St (A),3,465.53610416666675
181 St (A),4,483.80908571428563
181 St (A),5,493.8710208333334
181 St (A),6,479.5578607142856
181 St (A),7,416.9209255952381
181 St (A),8,394.73113809523807
181 St (A),9,498.77818928571435
181 St (A),10,520.6626178571429
181 St (A),11,462.9513125
181 St (A),12,463.01987738095227
"182-183 Sts (B,D)",1,171.98424285714287
"182-183 Sts (B,D)",2,157.68698392857146
"182-183 Sts (B,D)",3,203.59357500000004
"182-183 Sts (B,D)",4,183.12301666666664
"182-183 Sts (B,D)",5,194.25920833333328
"182-183 Sts (B,D)",6,187.17099642857147
"182-183 Sts (B,D)",7,151.00403452380954
"182-183 Sts (B,D)",8,161.36859880952386
"182-183 Sts (B,D)",9,200.74746964285708
"182-183 Sts (B,D)",10,211.28308035714298
"182-183 Sts (B,D)",11,192.28393154761903
"182-183 Sts (B,D)",12,190.46584880952375
183 St (4),1,234.1415613095238
183 St (4),2,252.150094047619
183 St (4),3,241.95531190476188
183 St (4),4,248.34307500000008
183 St (4),5,248.55709345238094
183 St (4),6,233.05016785714287
183 St (4),7,196.17520595238096
183 St (4),8,203.35273035714283
183 St (4),9,255.2799892857143
183 St (4),10,255.99339821428566
183 St (4),11,255.768743452381
183 St (4),12,213.9432440476191
190 St (A),1,215.67310297619048
190 St (A),2,225.50008749999995
190 St (A),3,222.30035357142856
190 St (A),4,232.81755238095243
190 St (A),5,242.2646208333333
190 St (A),6,237.9887904761904
190 St (A),7,205.94011964285716
190 St (A),8,204.728744047619
190 St (A),9,247.43643988095232
190 St (A),10,259.3823148809524
190 St (A),11,220.65747678571432
190 St (A),12,213.85424761904758
191 St (1),1,324.5882130952381
191 St (1),2,323.4604238095238
191 St (1),3,368.6993416666668
191 St (1),4,349.14721785714283
191 St (1),5,362.6124041666667
191 St (1),6,343.96573571428576
191 St (1),7,259.8909333333333
191 St (1),8,314.62536726190467
191 St (1),9,403.04444940476185
191 St (1),10,408.64663452380967
191 St (1),11,420.7068761904761
191 St (1),12,388.36349464285723
2 Av (F),1,917.4046059523812
2 Av (F),2,893.2738625
2 Av (F),3,995.2822410714288
2 Av (F),4,1031.4188767857145
2 Av (F),5,1048.3034910714289
2 Av (F),6,1019.695054166667
2 Av (F),7,863.2214089285711
2 Av (F),8,845.5699148809522
2 Av (F),9,1031.9789005952382
2 Av (F),10,1096.0637773809522
